adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,runtime,budget,revenue,status,tagline,director
False,/dyJvKsNs2KP8qQnAXbRwDjblViy.jpg,"16,10751,14",129,Spirited Away,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",32.9887,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,False,False,8.535,18402,125,19000000,274925095,Released,Beyond the tunnel was a mysterious town.,Hayao Miyazaki
False,/hKHX04i2zQrgZJdxS9UuFsgPUd7.jpg,18,13078,The Babysitters,en,The Babysitters,"Seventeen-year-old Shirley is a good student who works as a babysitter in order to make money for college. One night Michael, a father Shirley works for, confesses he's unhappy with married life. Shirley has a crush on Michael, and seizes this moment to kiss him. Michael is so happy he presents Shirley with a big tip, which gives her an idea. Shirley plans to make extra money by setting up her teenage friends with other unhappy fathers.",32.8524,/nsrNUqGXI95unRKZEu8BJ584xWn.jpg,2008-05-09,False,False,5.994,544,88,0,44852,Released,These girls mean business.,David Ross
False,/wG2VyZvBjXwuZUvqK00UcUNIpCG.jpg,"16,28,12,35,878",1598785,Milky☆Subway: The Galactic Limited Express - the Movie,ja,銀河特急 ミルキー☆サブウェイ 各駅停車劇場行き,"Six delinquents are tasked with cleaning a train as part of a community service program. But when the train suddenly takes off, chaos ensues.",32.8509,/brQf6Odu4S6WzfVLuXLbOcbsOP2.jpg,2026-02-06,False,False,9.333,24,46,0,0,Released,,Yohei Kameyama
False,,27,1663082,The Last Supper,en,The Last Supper,"In a deserted house, a mysterious man savors an exquisite menu in the company of an unseen guest. From this eerie dinner table, a succession of terrifying stories is revealed-each probing primal fears of hunger, flesh, and survival.",32.7107,/6rGa9huzhmG1i2iu2Vcyv5HI02t.jpg,2025-10-23,False,False,7.5,4,87,0,0,Released,Some Debts Can Only Be Eaten Away,Aleksandr Boikov
False,/pSNwe7G9bESwlCBVurlwRs7fMZU.jpg,35,4257,Scary Movie 4,en,Scary Movie 4,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",32.634,/sEqFdw1wLtY94RKCSPolsHWzn6r.jpg,2006-04-12,False,False,5.493,3609,83,40000000,178710620,Released,Bury the grudge. Burn the village. See the saw.,David Zucker
False,/ufqytAlziHq5pljKByGJ8IKhtEZ.jpg,"80,53",425274,Now You See Me: Now You Don't,en,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",32.6146,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,2025-11-12,False,False,6.502,1562,112,90000000,243700000,Released,Unlock the illusion.,Ruben Fleischer
False,/xnHVX37XZEp33hhCbYlQFq7ux1J.jpg,"18,10749",597,Titanic,en,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",32.191,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,1997-12-18,False,False,7.903,27216,194,200000000,2264162353,Released,Nothing on earth could come between them.,James Cameron
False,/rHVRERTgJT8SDuuhOW81gpaTg4I.jpg,35,14035,Meatballs,en,Meatballs,"Tripper is the head counselor at a budget summer camp called Camp Northstar. In truth, he's young at heart and only marginally more mature than the campers themselves. Tripper befriends Rudy, a loner camper who has trouble fitting in. As Tripper inspires his young charges to defeat rival Camp Mohawk in the annual Olympiad competition, Rudy plays matchmaker between Tripper and Roxanne, a female counselor at Northstar.",32.1798,/9YA2erSNcca9NWd0xePC9ArFWnx.jpg,1979-06-28,False,False,5.8,356,92,1207520,0,Released,Are you ready for a good time?,Ivan Reitman
False,/q62bpQ67qaXY0u6b2wFEnQYIbPd.jpg,"10751,35,16,12",301528,Toy Story 4,en,Toy Story 4,"Woody has always been confident about his place in the world, devoted to taking care of his kid—whether that's Andy or Bonnie. But after Bonnie creates a reluctant new toy called ""Forky"", a road trip adventure alongside old and new friends challenges everything Woody believes about loyalty, purpose, and what it truly means to be a toy.",32.0539,/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,2019-06-19,False,False,7.462,10561,100,175000000,1073841394,Released,The adventure of a lifetime.,Josh Cooley
False,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,"28,878,12",27205,Inception,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",32.03,/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,2010-07-15,False,False,8.372,39362,148,160000000,839030630,Released,Your mind is the scene of the crime.,Christopher Nolan
False,/5fA3ko0ZHkysz1aNO78jRsey4k4.jpg,"10749,10751,18,9648",1556616,Summer House,tr,Yaz Evi,"Selin travels back in time at a summer house and finds herself in her mother's youth, changing her family's fate and rebuilding her own life.",31.9773,/81xUChgVphBFehihIgbXbyneZXP.jpg,2026-06-06,False,False,8.2,7,0,0,0,Released,,Erdem Tepegöz
False,/cz4vLJrmaV1zJlRYbxqtvLzeLWB.jpg,"28,35,80,9648",1168190,The Wrecking Crew,en,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",31.5264,/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg,2026-01-28,False,False,7.009,1069,125,78500000,89000000,Released,They fight like brothers. They wreck like legends.,Ángel Manuel Soto
False,,"18,10749",1135873,GGS - Ganteng-Ganteng Sange,hi,GGS - Ganteng-Ganteng Sange,Kelas Bintang is back with this pack of drama called GGS - Ganteng-Ganteng Sange.,31.5257,/39fFH027tOpTyZwSNOydSAsOCzb.jpg,2023-05-28,False,False,6.1,7,28,0,0,Released,,
False,/eGX66zonvc4bXg3rM08RUxdYSDx.jpg,"878,12,28",1061474,Superman,en,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",31.4881,/ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg,2025-07-09,False,False,7.341,4866,130,225000000,618723803,Released,Look up.,James Gunn
False,/iCML6fBe3X0y06P33bM7dyYXPKZ.jpg,"35,10749",1632181,Accidental Partners,es,Socias por accidente,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.,31.4678,/sr1Yoj6XLPTWYcbDoBy67xivW4I.jpg,2026-03-12,False,False,9.05,262,110,0,0,Released,,Ihtzi Hurtado
False,/a8uQvrplTkhGJQog6GZ6CqF8An6.jpg,"35,10751,9648",1301421,The Sheep Detectives,en,The Sheep Detectives,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",31.3356,/6QtL9rl3Zb4d8qW6EJ4qO5hSSfU.jpg,2026-04-30,False,False,7.62,163,109,75000000,115953209,Released,A new breed of mystery.,Kyle Balda
False,/nBTUocp7lHmyrTmD8mTBOYem4ok.jpg,"878,53,27,80",1340110,Redux Redux,en,Redux Redux,"In an attempt to avenge her daughter’s death, Irene Kelly travels through parallel universes, killing her daughter’s murderer again and again. As she becomes consumed by vengeance, her humanity begins to slip away—until the cycle is disrupted when she rescues Mia, a sharp-witted teenager already marked by the killer.",31.2759,/9u7sUTYPPTxGCXbkcw8FTq50PnO.jpg,2025-12-28,False,False,6.719,144,109,0,0,Released,Revenge is a vicious cycle.,Kevin McManus
False,/6qQQhhF87Rm1z2TYhXAmoPiEHME.jpg,"16,10751,12,35",1146058,The Pout-Pout Fish,en,The Pout-Pout Fish,"Living on a rundown shipwreck, Mr. Fish one day discovers a hyperactive young sea dragon Pip – who had mistaken his home for a junkyard – pilfering his belongings. The heated argument that ensues leaves both their houses in ruin. But there is hope! Embarking on a seemingly impossible quest in search of the mythical 'Shimmer' to grant them a wish, there’s only one problem: someone else is on the hunt...",31.2292,/fcDXgGL14qL46It1XOozEjX5Jws.jpg,2026-01-01,False,False,5.8,10,91,10000000,4834402,Released,Spreading the dreary-wearies since 2008.,Ricard Cussó
False,/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg,"16,12,35,10751",1022789,Inside Out 2,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",30.934,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,2024-06-11,False,False,7.546,6711,97,200000000,1698863816,Released,Make room for new emotions.,Kelsey Mann
False,/gMItMzDOyrfQGZsMWRM9tdxq5cV.jpg,"28,27,878",1196067,Worldbreaker,en,Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",30.847,/ahj1JU8r0uJv7QII5Uj7tKzbEsC.jpg,2025-10-30,False,False,6.05,209,95,0,0,Released,The future belongs to those who fight.,Brad Anderson
False,/m3Pom6pbD51bBv3syz8NMHda3fz.jpg,"12,28,14",1368337,The Odyssey,en,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",30.7983,/9C9PAnrZcB8x7YHNlBs4PUv0Z7K.jpg,2026-07-15,False,False,0.0,0,172,250000000,0,Post Production,Defy the gods.,Christopher Nolan
False,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,"10751,35,12,14,16",502356,The Super Mario Bros. Movie,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",30.674,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,False,False,7.605,10797,93,100000000,1360879735,Released,Not all heroes wear capes. Some wear overalls.,Aaron Horvath
False,/tCyQ00lRBQvNNV2VQvH0Atrid6r.jpg,35,77429,Chechu y familia,es,Chechu y familia,"Chechu is a 13 year old boy who lives surrounded by peculiar people: his grandfather, his uncle, and two maids. He falls in love with one of them.",30.4407,/rZBzPx0w6IDE3ST1T7K8uXIZvYf.jpg,1992-06-25,False,False,5.35,10,81,0,264432,Released,,Álvaro Sáenz de Heredia
False,/Ae2fAp4SjKVsobi2RTb0Xl8yoY1.jpg,"18,28,53",13333,Game of Death,cn,死亡遊戲,A martial arts movie star must fake his death to find the people who are trying to kill him.,30.1557,/c6jgLHaQpdIPH1rC94KkjAqgE7O.jpg,1978-03-23,False,False,6.405,734,101,850000,50000000,Released,Bruce Lee challenges the underworld to a Game of Death.,Robert Clouse
False,/9AJ3GcCsUhoVn3czRU4yxVkSsDE.jpg,99,1202285,Porn,fr,Porn,,30.1192,/rbzySQcXmTvWOaaJAsFDlCjW8eG.jpg,2023-05-16,False,False,7.4,7,0,0,0,Released,,Amélie Menu
False,/40Wtp7kMG6mZ4d5T1jfrd8qrvD4.jpg,"16,35,14,12,10751",808,Shrek,en,Shrek,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",30.0479,/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg,2001-05-18,False,False,7.765,18811,90,60000000,488977919,Released,The greatest fairy tale never told.,Andrew Adamson
False,/guDyp7hs2Klr31E6A4agyvThAOy.jpg,"18,35",61823,The Ape Woman,it,La donna scimmia,A modest Neapolitan man meets a young woman with excessive hairiness. He exhibits her at fairs and marries her. It is after marriage that he receives a tempting offer from a French manager.,29.6376,/38avfcyrLqAzWE19jIpTnoQATZD.jpg,1964-01-31,False,False,7.3,59,92,0,0,Released,,Marco Ferreri
False,/hHDNOlATHhre4eZ7aYz5cdyJLik.jpg,"27,53,878",1272837,28 Years Later: The Bone Temple,en,28 Years Later: The Bone Temple,Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,29.4302,/kK1BGkG3KAvWB0WMV1DfOx9yTMZ.jpg,2026-01-14,False,False,7.135,1297,109,63000000,58522222,Released,Fear is the new faith.,Nia DaCosta
False,/2qWVt6JS1mIC2X2awSuuOnAYNbE.jpg,"28,12,878",1081003,Supergirl,en,Supergirl,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",29.3617,/moejGxR2haap29d9NQ7qe8x4eGj.jpg,2026-06-23,False,False,0.0,0,108,175000000,0,Post Production,Truth. Justice. Whatever.,Craig Gillespie
False,/v2IoEKNJIvBneE6qBgntY0nlmhM.jpg,"28,14,878",11649,Masters of the Universe,en,Masters of the Universe,"When the evil Skeletor finds a mysterious power called the Cosmic Key, he becomes nearly invincible, seizing Castle Grayskull and the surrounding city. The Sorceress is now Skeletor's prisoner and he begins to drain her life-force as he waits for the moon of Eternia to align with the Great Eye of the Universe which will bestow god-like power upon him. However, courageous warrior He-Man locates the locksmith inventor Gwildor, who created the Key and has another version of it. During a battle, one of the Keys is transported to Earth, where it is found by teenagers Julie and Kevin. Now, both He-Man and Skeletor's forces arrive on Earth searching for the potent weapon.",29.2986,/gaUecXFd31V68yOTJPJYaB9YhAf.jpg,1987-08-07,False,False,5.811,1043,106,22000000,17336370,Released,A battle fought in the stars...now comes to Earth.,Gary Goddard
False,/gtKglOSEq3d4MgQE4VsrT1sRkd0.jpg,"16,28,14",1539104,JUJUTSU KAISEN: Execution,ja,劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",29.2971,/v0s3dx6am0RzfsuK3KdEy8ZoCDs.jpg,2025-11-07,False,False,5.955,100,88,0,44457030,Released,,Shota Goshozono
