movie_id,title,original_language,popularity,vote_average,vote_count,runtime,budget,revenue,director,release_date,release_year,release_month,budget_category,rating_category,status,tagline,overview,decade
335984,Blade Runner 2049,en,21.4384,7.595,15186,164,150000000,259239658,Denis Villeneuve,2017-10-04,2017,10,Blockbuster,Good,Released,The key to the future is finally unearthed.,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",2010s
1078605,Weapons,en,21.9251,7.3,3477,128,38000000,269972492,Zach Cregger,2025-08-04,2025,8,Medium,Good,Released,"Last night at 2:17 AM, every child from Mrs. Gandy's class woke up, got out of bed, went downstairs, opened the front door, walked into the dark ...and they never came back.","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",2020s
27098,All Things Fair,sv,22.4183,6.4,173,125,0,0,Bo Widerberg,1995-03-08,1995,3,Unknown,Average,Released,He was a student. She was his teacher. Their love was forbidden.,"In 1943 Malmö, 15-year-old Stig is attracted to his teacher Viola, 22 years his senior, who, drawn to his youth and innocence, believes the lad is a God-sent relief from her miserable marriage to a drunken, unfaithful lout.",1990s
414906,The Batman,en,21.8459,7.661,11986,177,185000000,772775278,Matt Reeves,2022-03-01,2022,3,Blockbuster,Good,Released,Unmask the truth.,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2020s
269149,Zootopia,en,21.9736,7.763,18147,109,150000000,1025521689,Byron Howard,2016-02-11,2016,2,Blockbuster,Good,Released,Welcome to the urban jungle.,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",2010s
508642,Gonjiam: Haunted Asylum,ko,21.2143,7.283,938,95,0,21041950,Jung Bum-shik,2018-03-28,2018,3,Unknown,Good,Released,Experience the horror.,"The crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.",2010s
11036,The Notebook,en,22.6122,7.889,12577,123,29000000,115600000,Nick Cassavetes,2004-06-25,2004,6,Medium,Good,Released,Behind every great love is a great story.,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",2000s
912649,Venom: The Last Dance,en,22.7067,6.671,4252,109,120000000,478937618,Kelly Marcel,2024-10-22,2024,10,High,Average,Released,'Til death do they part.,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",2020s
78192,Michael Jackson: The Life of an Icon,en,16.6313,8.1,185,149,0,0,Andrew Eastel,2011-11-02,2011,11,Unknown,Excellent,Released,,"See Michael Jackson, one of the most recognizable and popular entertainers of all time, like never before in the feature-length tribute Michael Jackson: The Life of an Icon. Known to millions of fans worldwide for his record-breaking albums, groundbreaking music videos, mesmerizing dance moves and humanitarian efforts, his true story has never really been told...until now. This unprecedented look into the King of Pop's fascinating life includes all-new interviews with his mother Katherine Jackson as well as siblings Tito and Rebbie Jackson,  his nephew  Jaafar Jackson and niece Tahkyah brings plenty Jackson and Friends ends and music legends such as Smokey Robinson, Dionne Warwick and  his 3 children and many more.",2010s
429,"The Good, the Bad and the Ugly",it,22.0191,8.468,9684,161,1200000,38900000,Sergio Leone,1966-12-23,1966,12,Low,Excellent,Released,For three men the Civil War wasn't hell. It was practice.,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",1960s
